type,release_year,year_added,genre_count,desc_length,duration
1,2019,2021.0,1,138,3.0
1,2016,2021.0,3,149,2.0
1,2017,2021.0,2,130,2.0
1,2007,2021.0,1,143,4.0
1,2018,2021.0,3,144,3.0
1,2019,2021.0,3,142,5.0
1,2019,2021.0,3,151,2.0
1,2021,2021.0,3,143,2.0
1,2017,2021.0,3,152,2.0
0,2020,2021.0,2,151,105.0
1,2020,2021.0,3,114,2.0
1,2021,2021.0,1,130,2.0
1,2021,2021.0,2,149,5.0
1,2015,2021.0,3,132,3.0
1,2019,2021.0,3,148,3.0
1,2019,2021.0,2,147,2.0
1,2018,2021.0,1,148,8.0
1,2019,2021.0,2,146,7.0
1,2016,2021.0,1,140,2.0
0,2012,2021.0,3,139,116.0
0,1976,2021.0,2,141,124.0
1,2015,2021.0,2,145,2.0
0,2018,2021.0,2,152,101.0
1,2019,2021.0,3,150,3.0
1,2021,2021.0,2,125,3.0
0,2019,2021.0,2,150,95.0
1,2015,2021.0,2,116,2.0
1,2018,2021.0,3,143,3.0
1,2018,2021.0,2,143,6.0
1,2021,2021.0,3,143,2.0
1,2020,2021.0,3,142,2.0
1,2020,2021.0,2,150,4.0
0,2018,2021.0,3,151,128.0
0,1959,2021.0,2,148,143.0
1,2020,2021.0,3,150,2.0
1,2021,2021.0,2,143,5.0
1,2020,2021.0,2,114,3.0
1,2021,2021.0,3,146,1.0
1,2021,2021.0,1,146,1.0
1,2020,2021.0,2,149,17.0
1,2020,2021.0,2,142,1.0
0,2021,2021.0,2,152,107.0
0,2021,2021.0,3,147,136.0
0,2020,2021.0,2,149,94.0
1,2019,2021.0,3,134,2.0
0,2020,2021.0,3,150,136.0
0,2013,2021.0,3,133,126.0
0,2021,2021.0,3,149,116.0
0,2018,2021.0,2,150,100.0
0,2012,2021.0,1,150,115.0
0,1997,2021.0,1,150,125.0
0,2021,2021.0,2,146,39.0
0,2002,2021.0,2,139,94.0
0,1997,2021.0,1,149,90.0
0,1999,2021.0,3,143,95.0
0,1997,2021.0,3,139,155.0
1,2020,2021.0,3,149,1.0
0,2000,2021.0,2,149,98.0
0,1995,2021.0,2,129,108.0
0,1993,2021.0,2,149,96.0
0,2019,2021.0,3,142,117.0
0,2021,2021.0,2,151,118.0
1,2021,2021.0,3,150,1.0
0,2019,2021.0,3,133,103.0
0,2008,2021.0,2,145,94.0
0,2011,2021.0,2,150,93.0
0,2010,2021.0,3,149,115.0
0,2019,2021.0,3,120,120.0
1,2021,2021.0,2,152,1.0
0,2005,2021.0,2,152,145.0
0,1988,2021.0,3,149,126.0
0,2021,2021.0,3,151,96.0
0,1995,2021.0,2,148,101.0
0,2016,2021.0,2,142,118.0
0,2011,2021.0,2,146,109.0
0,2001,2021.0,1,136,89.0
0,2018,2021.0,2,151,106.0
0,1992,2021.0,1,146,101.0
1,2020,2021.0,3,129,1.0
1,2018,2021.0,1,145,1.0
0,2019,2021.0,2,134,101.0
1,2016,2021.0,2,148,3.0
0,2008,2021.0,2,125,123.0
0,2010,2021.0,2,151,106.0
0,2000,2021.0,2,243,89.0
0,2009,2021.0,2,153,128.0
0,1999,2021.0,2,152,85.0
0,2019,2021.0,3,141,89.0
0,2006,2021.0,3,147,108.0
0,2010,2021.0,2,146,105.0
0,2019,2021.0,1,150,133.0
0,1997,2021.0,1,153,129.0
0,1984,2021.0,3,148,127.0
0,1986,2021.0,3,150,113.0
0,1989,2021.0,2,150,112.0
0,2003,2021.0,1,140,130.0
0,1980,2021.0,1,144,100.0
0,2006,2021.0,2,146,103.0
0,2008,2021.0,2,149,85.0
0,2002,2021.0,1,141,124.0
0,2010,2021.0,2,138,103.0
0,2003,2021.0,3,150,121.0
0,2012,2021.0,3,143,89.0
0,2009,2021.0,3,150,92.0
